iter	Passed	Remaining
512	2740	2601
513	2745	2596
514	2750	2590
515	2754	2584
516	2759	2578
517	2764	2572
518	2769	2566
519	2774	2561
520	2779	2555
521	2784	2549
522	2789	2544
523	2794	2538
524	2799	2532
525	2804	2527
526	2809	2521
527	2814	2515
528	2819	2510
529	2824	2504
530	2828	2498
531	2833	2492
532	2838	2487
533	2843	2481
534	2848	2475
535	2853	2470
536	2858	2464
537	2863	2458
538	2868	2453
539	2873	2447
540	2878	2442
541	2883	2436
542	2888	2430
543	2893	2425
544	2898	2419
545	2903	2413
546	2908	2408
547	2912	2402
548	2917	2397
549	2922	2391
550	2927	2385
551	2932	2380
552	2937	2374
553	2942	2369
554	2947	2363
555	2952	2357
556	2957	2352
557	2962	2346
558	2967	2341
559	2972	2335
560	2977	2329
561	2981	2324
562	2986	2318
563	2991	2312
564	2996	2307
565	3001	2301
566	3006	2296
567	3011	2290
568	3016	2284
569	3020	2278
570	3026	2273
571	3032	2269
572	3037	2263
573	3043	2258
574	3048	2253
575	3053	2247
576	3058	2242
577	3063	2236
578	3068	2231
579	3073	2225
580	3078	2219
581	3083	2214
582	3088	2208
583	3093	2203
584	3099	2198
585	3104	2193
586	3109	2187
587	3115	2182
588	3120	2177
589	3126	2172
590	3131	2167
591	3137	2162
592	3142	2156
593	3147	2151
594	3152	2145
595	3158	2140
596	3163	2135
597	3168	2130
598	3174	2125
599	3179	2119
600	3184	2114
601	3190	2109
602	3195	2103
603	3200	2098
604	3205	2092
605	3210	2087
606	3215	2081
607	3221	2076
608	3225	2071
609	3230	2065
610	3235	2060
611	3240	2054
612	3246	2049
613	3251	2044
614	3256	2038
615	3261	2033
616	3267	2028
617	3272	2022
618	3276	2016
619	3281	2011
620	3286	2005
621	3291	2000
622	3296	1994
623	3301	1989
624	3305	1983
625	3310	1978
626	3316	1972
627	3321	1967
628	3326	1961
629	3331	1956
630	3336	1950
631	3341	1945
632	3345	1939
633	3350	1934
634	3355	1928
635	3360	1923
636	3365	1917
637	3370	1912
638	3375	1906
639	3380	1901
640	3384	1895
641	3389	1890
642	3394	1884
643	3399	1879
644	3404	1873
645	3409	1868
646	3414	1863
647	3420	1857
648	3424	1852
649	3429	1846
650	3435	1841
651	3440	1836
652	3445	1830
653	3449	1825
654	3454	1819
655	3459	1814
656	3464	1808
657	3469	1803
658	3473	1797
659	3479	1792
660	3484	1786
661	3489	1781
662	3494	1776
663	3499	1770
664	3504	1765
665	3509	1759
666	3513	1754
667	3518	1748
668	3523	1743
669	3528	1737
670	3533	1732
671	3538	1727
672	3543	1721
673	3548	1716
674	3552	1710
675	3557	1705
676	3562	1699
677	3568	1694
678	3573	1689
679	3577	1683
680	3582	1678
681	3587	1672
682	3592	1667
683	3597	1661
684	3602	1656
685	3606	1650
686	3611	1645
687	3616	1639
688	3621	1634
689	3626	1629
690	3630	1623
691	3635	1618
692	3641	1613
693	3646	1607
694	3651	1602
695	3656	1596
696	3661	1591
697	3665	1586
698	3670	1580
699	3675	1575
700	3680	1569
701	3685	1564
702	3690	1559
703	3695	1553
704	3700	1548
705	3705	1543
706	3710	1537
707	3714	1532
708	3719	1526
709	3724	1521
710	3729	1516
711	3734	1510
712	3739	1505
713	3744	1500
714	3749	1494
715	3754	1489
716	3759	1483
717	3764	1478
718	3769	1473
719	3773	1467
720	3778	1462
721	3783	1456
722	3788	1451
723	3793	1446
724	3798	1440
725	3803	1435
726	3808	1430
727	3813	1424
728	3818	1419
729	3824	1414
730	3829	1409
731	3833	1403
732	3838	1398
733	3843	1393
734	3848	1387
735	3853	1382
736	3858	1376
737	3863	1371
738	3868	1366
739	3872	1360
740	3877	1355
741	3883	1350
742	3887	1344
743	3892	1339
744	3897	1334
745	3902	1328
746	3907	1323
747	3912	1318
748	3917	1312
749	3922	1307
750	3927	1302
751	3932	1296
752	3937	1291
753	3941	1286
754	3947	1280
755	3952	1275
756	3957	1270
757	3962	1265
758	3967	1259
759	3972	1254
760	3977	1249
761	3982	1243
762	3986	1238
763	3991	1232
764	3996	1227
765	4001	1222
766	4005	1216
767	4010	1211
768	4015	1206
769	4020	1200
770	4025	1195
771	4030	1190
772	4036	1185
773	4042	1180
774	4047	1175
775	4052	1169
776	4058	1164
777	4063	1159
778	4068	1154
779	4073	1149
780	4079	1143
781	4083	1138
782	4089	1133
783	4094	1128
784	4099	1122
785	4105	1117
786	4110	1112
787	4115	1107
788	4121	1102
789	4126	1096
790	4131	1091
791	4137	1086
792	4142	1081
793	4147	1076
794	4152	1070
795	4158	1065
796	4163	1060
797	4168	1055
798	4173	1049
799	4179	1044
800	4184	1039
801	4189	1034
802	4194	1029
803	4200	1023
804	4205	1018
805	4211	1013
806	4218	1008
807	4223	1003
808	4229	998
809	4234	993
810	4240	988
811	4245	982
812	4250	977
813	4255	972
814	4260	967
815	4265	961
816	4270	956
817	4276	951
818	4281	946
819	4286	940
820	4291	935
821	4296	930
822	4302	925
823	4307	920
824	4313	915
825	4318	909
826	4323	904
827	4329	899
828	4334	894
829	4339	888
830	4344	883
831	4350	878
832	4355	873
833	4360	868
834	4366	862
835	4371	857
836	4376	852
837	4381	847
838	4387	841
839	4392	836
840	4398	831
841	4403	826
842	4408	820
843	4413	815
844	4418	810
845	4423	805
846	4429	800
847	4435	794
848	4440	789
849	4446	784
850	4451	779
851	4456	774
852	4462	768
853	4467	763
854	4472	758
855	4478	753
856	4483	748
857	4487	742
858	4493	737
859	4498	732
860	4503	727
861	4509	721
862	4514	716
863	4520	711
864	4525	706
865	4531	701
866	4537	696
867	4543	690
868	4549	685
869	4555	680
870	4561	675
871	4566	670
872	4572	665
873	4578	660
874	4584	654
875	4589	649
876	4595	644
877	4601	639
878	4606	634
879	4612	629
880	4618	623
881	4624	618
882	4629	613
883	4635	608
884	4641	603
885	4646	597
886	4652	592
887	4657	587
888	4663	582
889	4669	577
890	4675	571
891	4681	566
892	4686	561
893	4692	556
894	4698	551
895	4703	545
896	4709	540
897	4715	535
898	4720	530
899	4726	525
900	4732	519
901	4737	514
902	4743	509
903	4748	504
904	4754	499
905	4759	493
906	4765	488
907	4770	483
908	4776	478
909	4781	472
910	4787	467
911	4793	462
912	4798	457
913	4804	452
914	4809	446
915	4815	441
916	4820	436
917	4825	431
918	4830	425
919	4836	420
920	4841	415
921	4846	410
922	4851	404
923	4856	399
924	4861	394
925	4867	388
926	4872	383
927	4878	378
928	4883	373
929	4888	367
930	4893	362
931	4899	357
932	4904	352
933	4909	346
934	4914	341
935	4919	336
936	4924	331
937	4930	325
938	4935	320
939	4940	315
940	4945	310
941	4950	304
942	4955	299
943	4960	294
944	4966	289
945	4971	283
946	4977	278
947	4982	273
948	4988	268
949	4994	262
950	4999	257
951	5004	252
952	5010	247
953	5015	241
954	5020	236
955	5025	231
956	5031	226
957	5036	220
958	5048	215
959	5054	210
960	5059	205
961	5064	200
962	5069	194
963	5074	189
964	5080	184
965	5086	179
966	5091	173
967	5096	168
968	5101	163
969	5107	157
970	5112	152
971	5117	147
972	5123	142
973	5129	136
974	5134	131
975	5140	126
976	5145	121
977	5150	115
978	5155	110
979	5160	105
980	5165	100
981	5171	94
982	5176	89
983	5182	84
984	5187	79
985	5193	73
986	5199	68
987	5204	63
988	5209	57
989	5215	52
990	5220	47
991	5225	42
992	5231	36
993	5236	31
994	5242	26
995	5247	21
996	5253	15
997	5258	10
998	5264	5
999	5269	0
