iter	RMSE
192	6656.430515
193	6652.004138
194	6647.395192
195	6636.67983
196	6631.495755
197	6622.702779
198	6614.506812
199	6605.231468
200	6589.059505
201	6578.085942
202	6571.538096
203	6561.728206
204	6559.275616
205	6551.693897
206	6542.437049
207	6528.149657
208	6521.575499
209	6516.941887
210	6506.340553
211	6502.257564
212	6493.618199
213	6488.252059
214	6481.645156
215	6476.297143
216	6466.279309
217	6462.71583
218	6457.571232
219	6451.83774
220	6445.364591
221	6437.04898
222	6431.54577
223	6422.607129
224	6416.817429
225	6409.040541
226	6401.177794
227	6393.908463
228	6389.092707
229	6383.188533
230	6377.823085
231	6360.676117
232	6356.14637
233	6350.804122
234	6343.813414
235	6338.070531
236	6331.136089
237	6325.460153
238	6320.232486
239	6317.463785
240	6306.259392
241	6293.208904
242	6286.26384
243	6277.235931
244	6273.103561
245	6265.133926
246	6254.112346
247	6247.93835
248	6238.581893
249	6230.171564
250	6222.480873
251	6218.611636
252	6210.858855
253	6206.79032
254	6198.316217
255	6194.730044
256	6190.376882
257	6183.090871
258	6178.557492
259	6171.586042
260	6165.409905
261	6160.564809
262	6154.292887
263	6149.580174
264	6143.864685
265	6140.384814
266	6135.961157
267	6129.393411
268	6122.319009
269	6116.528085
270	6112.734961
271	6105.990894
272	6094.401771
273	6088.402188
274	6082.574316
275	6076.778422
276	6069.708796
277	6064.454726
278	6059.447719
279	6055.413119
280	6052.004506
281	6047.988043
282	6044.81969
283	6039.476517
284	6034.463632
285	6030.500136
286	6025.487275
287	6021.527455
288	6017.430014
289	6013.145239
290	6009.779389
291	6004.768836
292	5998.030081
293	5994.745914
294	5987.35798
295	5983.782786
296	5978.739802
297	5973.327757
298	5969.976226
299	5966.342772
300	5960.496779
301	5956.42426
302	5952.620429
303	5947.52507
304	5944.774955
305	5940.993583
306	5935.61504
307	5931.262151
308	5926.623147
309	5924.263133
310	5920.862449
311	5914.503523
312	5909.846665
313	5906.949643
314	5901.476011
315	5897.899557
316	5893.387179
317	5889.213362
318	5883.897073
319	5876.019671
320	5870.95426
321	5866.547526
322	5863.686888
323	5859.716774
324	5852.664761
325	5848.140319
326	5843.795425
327	5839.451324
328	5836.008623
329	5831.846634
330	5828.620784
331	5824.629297
332	5818.135064
333	5815.020565
334	5810.815221
335	5806.901631
336	5800.379573
337	5797.786363
338	5789.923096
339	5785.185613
340	5780.073087
341	5777.477953
342	5773.830502
343	5769.497119
344	5763.69619
345	5758.860481
346	5756.286183
347	5751.570454
348	5747.077716
349	5742.31712
350	5737.750005
351	5730.9186
352	5726.26787
353	5721.194817
354	5713.257907
355	5707.495191
356	5703.704199
357	5700.997993
358	5694.549509
359	5689.971581
360	5685.7417
361	5683.520955
362	5680.02361
363	5676.065737
364	5673.186205
365	5668.340528
366	5661.494488
367	5657.346978
368	5653.039227
369	5649.906703
370	5647.25479
371	5642.771302
372	5640.409857
373	5636.265663
374	5630.332763
375	5628.102845
376	5622.001433
377	5616.851429
378	5613.715027
379	5607.213331
380	5602.85499
381	5600.389465
382	5595.99887
383	5591.695601
384	5588.400031
385	5586.182373
386	5583.614021
387	5578.564437
388	5575.365734
389	5572.145605
390	5567.466695
391	5563.693537
392	5557.650003
393	5553.759674
394	5550.135412
395	5546.759626
396	5540.938325
397	5537.428255
398	5532.778338
399	5527.451636
400	5524.58661
401	5518.687673
402	5515.810434
403	5513.593603
404	5507.875056
405	5504.768984
406	5501.37814
407	5498.195962
408	5494.195648
409	5491.535653
410	5484.111612
411	5480.73981
412	5475.305802
413	5471.834867
414	5468.101786
415	5464.378326
416	5460.56574
417	5458.156016
418	5455.923137
419	5453.106352
420	5449.958197
421	5445.913719
422	5442.873485
423	5440.103051
424	5436.777148
425	5433.050469
426	5428.776967
427	5422.404188
428	5418.293598
429	5414.296531
430	5411.378382
431	5408.125696
432	5405.408156
433	5402.973434
434	5399.027781
435	5395.823987
436	5393.966297
437	5392.220343
438	5389.985349
439	5386.137494
440	5381.373949
441	5379.208938
442	5376.048213
443	5373.961837
444	5371.988594
445	5369.308041
446	5366.10918
447	5363.17542
448	5360.25156
449	5356.19019
450	5352.592241
451	5349.670836
452	5348.059994
453	5345.425877
454	5342.187605
455	5339.419462
456	5336.995856
457	5332.206009
458	5327.894872
459	5325.464653
460	5323.176078
461	5318.572683
462	5315.82627
463	5312.343368
464	5309.908608
465	5308.372642
466	5305.411417
467	5301.031798
468	5298.194142
469	5295.126744
470	5290.333774
471	5287.897476
472	5285.814965
473	5282.157104
474	5279.128867
475	5277.035369
476	5272.51515
477	5269.304972
478	5267.428602
479	5264.476075
480	5261.897126
481	5259.581814
482	5254.482442
483	5250.876612
484	5248.215799
485	5243.616855
486	5237.457571
487	5233.185861
488	5229.851571
489	5226.501949
490	5223.212877
491	5219.198394
492	5216.000183
493	5211.851509
494	5209.342582
495	5204.9178
496	5202.426888
497	5199.164462
498	5196.011548
499	5191.366085
500	5189.126949
501	5186.382589
502	5184.738911
503	5181.459287
504	5177.788799
505	5174.080556
506	5171.552219
507	5169.099835
508	5165.2261
509	5162.835181
510	5159.583799
511	5156.827141
512	5155.277458
513	5151.164399
514	5148.632866
515	5147.448687
516	5143.648697
517	5141.805236
518	5139.227728
519	5133.880541
520	5131.582036
521	5130.140065
522	5127.820109
523	5125.192545
524	5120.318516
525	5114.526906
526	5112.432268
527	5110.193811
528	5107.822553
529	5104.79999
530	5102.015678
531	5096.541053
532	5094.732223
533	5092.786934
534	5091.133633
535	5086.898717
536	5084.448934
537	5081.803254
538	5077.994117
539	5075.093873
540	5073.294698
541	5070.95559
542	5069.049397
543	5066.924776
544	5064.586005
545	5062.62898
546	5059.142304
547	5056.69593
548	5053.575355
549	5050.588502
550	5047.318662
551	5045.401753
552	5042.373816
553	5038.852278
554	5035.102913
555	5033.139135
556	5030.384995
557	5026.082949
558	5023.458762
559	5020.962079
560	5018.346986
561	5015.966239
562	5013.411294
563	5008.643518
564	5003.061101
565	5001.138699
566	4998.259055
567	4996.06386
568	4991.037556
569	4987.540796
570	4985.12769
571	4983.126197
572	4980.447056
573	4978.396114
574	4975.774793
575	4973.595526
576	4971.803111
577	4968.988784
578	4965.959515
579	4961.347697
580	4957.762126
581	4954.531428
582	4952.351145
583	4946.421704
584	4944.429647
585	4941.712976
586	4940.401362
587	4936.044842
588	4933.24807
589	4930.019357
590	4927.902377
591	4925.744677
592	4923.099456
593	4920.971839
594	4918.841875
595	4916.585925
596	4914.04038
597	4912.654273
598	4910.517615
599	4908.685491
600	4906.018285
601	4904.22251
602	4899.689505
603	4896.069069
604	4894.623038
605	4892.73154
606	4890.398705
607	4887.910565
608	4885.816653
609	4882.486767
610	4880.295694
611	4878.33644
612	4876.226861
613	4874.891147
614	4871.77416
615	4869.615336
616	4866.989515
617	4865.179677
618	4863.622833
619	4861.886106
620	4859.649863
621	4855.611047
622	4853.363749
623	4851.584597
624	4848.98826
625	4846.619458
626	4845.084144
627	4842.211414
628	4840.15723
629	4836.599785
630	4834.914259
631	4832.921386
632	4831.003067
633	4827.53278
634	4825.725299
635	4822.486021
636	4820.658859
637	4818.775405
638	4816.79618
639	4814.521224
640	4812.32493
641	4808.684066
642	4806.451788
643	4804.631789
644	4802.348212
645	4798.21602
646	4795.157303
647	4792.886535
648	4791.3126
649	4789.916101
650	4786.434703
651	4784.632589
652	4782.831714
653	4780.551858
654	4778.850272
655	4777.19139
656	4774.077196
657	4771.923482
658	4770.581578
659	4767.914295
660	4766.159399
661	4763.165699
662	4760.990834
663	4760.095389
664	4757.37849
665	4755.099821
666	4751.551102
667	4749.316995
668	4746.697161
669	4743.793718
670	4741.646268
671	4739.485933
672	4737.925417
673	4736.924111
674	4736.178459
675	4733.260797
676	4731.332661
677	4729.278631
678	4725.195132
679	4723.180439
680	4720.586712
681	4719.196264
682	4717.803756
683	4715.573495
684	4714.145434
685	4712.456438
686	4710.794372
687	4707.713246
688	4706.272703
689	4704.417453
690	4702.744579
691	4700.291575
692	4697.112053
693	4695.32859
694	4693.693931
695	4692.098045
696	4689.973459
697	4688.557934
698	4686.10152
699	4684.458884
700	4683.317361
701	4681.301988
702	4679.461105
703	4677.738704
704	4674.498804
705	4672.828833
706	4669.849844
707	4668.489189
708	4666.973686
709	4664.823847
710	4662.953678
711	4660.743056
712	4658.093851
713	4655.900277
714	4654.174356
715	4649.827034
716	4648.166583
717	4645.452149
718	4643.858611
719	4643.214532
720	4641.679935
721	4639.043806
722	4637.623826
723	4634.545754
724	4633.457634
725	4632.318396
726	4630.871761
727	4628.933692
728	4626.889166
729	4624.051973
730	4622.529412
731	4621.898104
732	4619.932622
733	4618.501695
734	4616.589854
735	4614.149835
736	4613.023341
737	4610.634269
738	4609.220622
739	4607.5054
740	4605.555088
741	4602.901712
742	4601.13411
743	4599.811556
744	4598.137726
745	4596.74549
746	4595.3126
747	4592.99255
748	4591.393369
749	4589.31902
750	4588.260918
751	4586.234824
752	4584.178337
753	4582.783293
754	4579.457241
755	4577.950101
756	4575.649233
757	4574.573072
758	4573.154151
759	4570.178683
760	4567.864338
761	4566.760813
762	4564.857909
763	4563.614381
764	4561.807777
765	4560.422831
766	4556.7402
767	4554.747846
768	4551.89833
769	4551.251761
770	4549.301886
771	4548.236749
772	4545.408006
773	4542.592014
774	4540.715341
775	4539.385572
776	4536.705626
777	4536.083578
778	4535.329822
779	4533.233035
780	4531.209651
781	4529.297159
782	4527.661062
783	4526.074833
784	4521.381667
785	4519.183884
786	4518.004862
787	4514.872148
788	4514.10198
789	4511.489863
790	4508.319211
791	4506.777687
792	4505.540671
793	4503.947831
794	4502.243601
795	4500.473301
796	4498.495001
797	4496.830105
798	4495.367305
799	4494.350634
800	4492.193333
801	4490.864315
802	4490.221368
803	4488.427548
804	4487.049171
805	4485.404853
806	4483.791474
807	4481.319389
808	4479.782686
809	4477.873748
810	4474.809196
811	4473.370113
812	4472.33947
813	4471.412099
814	4469.095319
815	4466.729132
816	4465.232863
817	4463.777628
818	4462.30266
819	4459.503408
820	4457.153055
821	4456.065174
822	4455.186246
823	4453.134719
824	4449.510258
825	4448.365863
826	4446.808163
827	4444.263847
828	4443.013828
829	4440.828345
830	4439.148571
831	4437.584478
832	4436.810219
833	4434.289643
834	4431.394389
835	4429.479609
836	4428.089708
837	4426.894065
838	4424.457242
839	4423.455857
840	4421.48101
841	4419.106179
842	4417.993779
843	4416.810577
844	4415.404468
845	4413.63819
846	4411.953287
847	4410.779473
848	4409.288503
849	4407.000252
850	4403.371631
851	4401.940333
852	4401.23416
853	4399.675303
854	4398.207444
855	4396.871027
856	4395.745146
857	4393.463222
858	4392.024219
859	4391.055611
860	4390.204432
861	4388.431715
862	4387.563909
863	4385.20921
864	4383.782606
865	4382.604844
866	4380.342094
867	4378.08126
868	4375.525046
869	4374.077141
870	4372.999727
871	4371.844146
872	4370.166989
873	4368.485421
874	4366.758312
875	4366.01919
876	4364.186603
877	4361.28115
878	4359.856663
879	4358.111785
880	4356.615839
881	4354.184496
882	4351.58075
883	4349.361619
884	4346.655836
885	4346.187558
886	4344.38073
887	4343.396099
888	4341.387481
889	4339.331606
890	4337.95457
891	4335.189279
892	4334.095935
893	4332.963215
894	4331.61377
895	4329.89733
896	4328.413197
897	4326.959628
898	4325.890836
899	4323.633181
900	4321.079139
901	4319.763237
902	4319.325158
903	4317.543773
904	4315.446079
905	4314.274711
906	4312.564406
907	4311.168677
908	4307.946365
909	4306.801691
910	4305.495564
911	4304.543794
912	4303.872232
913	4302.554839
914	4301.541604
915	4299.852515
916	4298.791609
917	4297.494561
918	4295.734225
919	4293.557702
920	4291.974173
921	4290.742936
922	4289.894846
923	4288.497607
924	4287.063099
925	4284.953213
926	4283.673655
927	4281.874111
928	4281.111341
929	4278.953558
930	4277.891232
931	4276.829503
932	4275.801549
933	4273.960411
934	4271.90864
935	4271.191216
936	4268.550349
937	4267.015586
938	4265.919261
939	4263.995492
940	4262.674218
941	4260.975671
942	4260.324344
943	4258.755087
944	4257.395895
945	4256.197871
946	4255.661343
947	4254.105181
948	4252.72633
949	4251.607538
950	4250.846722
951	4249.799821
952	4248.217105
953	4247.207564
954	4245.479795
955	4243.978658
956	4242.838227
957	4241.49917
958	4240.111455
959	4239.310551
960	4237.626966
961	4236.960216
962	4235.961059
963	4235.268248
964	4232.562543
965	4231.859089
966	4230.200102
967	4228.984043
968	4227.439962
969	4226.39121
970	4225.454297
971	4224.050018
972	4223.094013
973	4221.821315
974	4220.775322
975	4220.07875
976	4217.457643
977	4216.0091
978	4214.864238
979	4213.740712
980	4212.05988
981	4210.940341
982	4209.690518
983	4208.324518
984	4206.69669
985	4205.717026
986	4204.333336
987	4202.616092
988	4201.634201
989	4199.192476
990	4198.148745
991	4195.885241
992	4194.309809
993	4192.502435
994	4191.643702
995	4189.644213
996	4187.576691
997	4185.876234
998	4184.853409
999	4183.598636
